OBJECTID,Year,Fed ID,District Code,CDS Code,County Name,District Name,District Type,Grade Low,Grade High,Grade Low Census,Grade High Census,Assistance Status,US Congress District,CA Senate District,CA Assembly District,Locale,Update Notes,Enroll Total,Enroll Charter,Enroll Non Charter,African American,African American (%),American Indian,American Indian (%),Asian,Asian (%),Filipino,Filipino (%),Hispanic,Hispanic (%),Pacific Islander,Pacific Islander (%),White,White (%),Two or More Races,Two or More Races (%),Not Reported,Not Reported (%),English Learner,English Learner (%),Foster,Foster (%),Homeless,Homeless (%),Migrant,Migrant (%),Students with Disabilities,Students with Disabilities (%),Socioeconomically Disadvantaged,Socioeconomically Disadvantaged (%),DistrctAreaSqMi,Shape__Area,Shape__Length
1,2023-24,0601770,0161119,01611190000000,Alameda,Alameda Unified,Unified,KG,12,KG,12,General Assistance,13,09,18,"21 - Suburban, Large",SY 2018-19 Boundary Adjustment/Correction,10557,1496,9061,748,7.1,25,0.2,2610,24.7,484,4.6,1878,17.8,52,0.5,2844,26.9,1596,15.1,320,3,906,8.6,27,0.3,91,0.9,0,0,1286,12.2,4035,38.2,11.4555701559895,47554894.2539063,56522.9826830263
2,2023-24,0601860,0161127,01611270000000,Alameda,Albany City Unified,Unified,KG,12,KG,12,General Assistance,13,09,15,"21 - Suburban, Large",,3574,0,3574,152,4.3,10,0.3,1130,31.6,51,1.4,616,17.2,4,0.1,923,25.8,483,13.5,205,5.7,456,12.8,1,0,24,0.7,0,0,320,9,1122,31.4,1.70365432124422,7096327.46484375,12696.3827974513
3,2023-24,0604740,0161143,01611430000000,Alameda,Berkeley Unified,Unified,KG,12,KG,12,General Assistance,13,09,15,"12 - City, Midsize ",,9077,0,9077,1052,11.6,21,0.2,736,8.1,73,0.8,2045,22.5,16,0.2,3733,41.1,1392,15.3,9,0.1,594,6.5,32,0.4,150,1.7,0,0,1092,12,2508,27.6,10.4833621632473,43646483.9492188,43695.3415383838
4,2023-24,0607800,0161150,01611500000000,Alameda,Castro Valley Unified,Unified,KG,12,KG,12,General Assistance,"13,15","07,09,10","18,20","21 - Suburban, Large",SY 2018-19 Boundary Adjustment/Correction,9489,0,9489,406,4.3,7,0.1,3119,32.9,423,4.5,2331,24.6,40,0.4,1862,19.6,974,10.3,327,3.4,1266,13.3,5,0.1,135,1.4,0,0,1048,11,3686,38.8,68.4426035267287,283828532.914063,142492.767564508
5,2023-24,0612630,0161168,01611680000000,Alameda,Emery Unified,Unified,KG,12,KG,12,General Assistance,13,09,15,"21 - Suburban, Large",,600,0,600,265,44.2,0,0,56,9.3,5,0.8,126,21,4,0.7,76,12.7,56,9.3,12,2,98,16.3,1,0.2,13,2.2,0,0,75,12.5,327,54.5,1.28941556423125,5363392.45703125,13741.2728937254
6,2023-24,0614400,0161176,01611760000000,Alameda,Fremont Unified,Unified,KG,12,KG,12,Differentiated Assistance,"15,17",10,"20,25","21 - Suburban, Large",,33063,402,32661,588,1.8,120,0.4,21565,65.2,1373,4.2,5327,16.1,163,0.5,2426,7.3,1150,3.5,351,1.1,5508,16.7,21,0.1,226,0.7,46,0.1,3323,10.1,8297,25.1,77.8192883091205,321018983.757813,163452.273562606
7,2023-24,0616740,0161192,01611920000000,Alameda,Hayward Unified,Unified,KG,12,KG,12,Differentiated Assistance,15,10,20,"21 - Suburban, Large",SY 2018-19 Boundary Adjustment/Correction,20193,2562,17631,1388,6.9,46,0.2,1700,8.4,1303,6.5,13289,65.8,632,3.1,802,4,848,4.2,185,0.9,5864,29,44,0.2,564,2.8,302,1.5,2698,13.4,15843,78.5,34.3115916967603,141981818.476563,82372.3100621388
8,2023-24,0622110,0161200,01612000000000,Alameda,Livermore Valley Joint Unified,Unified,KG,12,KG,12,Differentiated Assistance,"11,15",07,"14,16,20","13 - City, Small",SY 2018-19 Boundary Adjustment/Correction,13050,0,13050,190,1.5,30,0.2,1892,14.5,353,2.7,4182,32,28,0.2,5223,40,1152,8.8,0,0,1245,9.5,23,0.2,162,1.2,94,0.7,1978,15.2,3298,25.3,266.757604041276,1103915430.32422,206081.113756893
9,2023-24,0626130,0161218,01612180000000,Alameda,Mountain House Elementary,Elementary,KG,08,KG,08,General Assistance,15,07,16,"41 - Rural, Fringe",SY 2018-19 Boundary Adjustment/Correction,12,0,12,0,0,0,0,0,0,0,0,10,83.3,0,0,2,16.7,0,0,0,0,6,50,0,0,0,0,0,0,1,8.3,8,66.7,30.0797396446697,124796628.925781,55768.4684652416
10,2023-24,0627060,0161234,01612340000000,Alameda,Newark Unified,Unified,KG,12,KG,12,Differentiated Assistance,17,10,25,"21 - Suburban, Large",,4828,0,4828,132,2.7,14,0.3,861,17.8,394,8.2,2477,51.3,93,1.9,436,9,290,6,131,2.7,1029,21.3,19,0.4,172,3.6,29,0.6,683,14.1,2297,47.6,14.0984188340246,58146582.9882813,39693.1048625914
